"businessname","legalowner","namelast","namefirst","licenseno","issdttm","expdttm","licstatus","licensecat","descript","result","resultdttm","violation","viollevel","violdesc","violdttm","violstatus","statusdate","comments","address","city","state","zip","property_id","latitude","longtitude","rank"
"Ajeen","TEDESCHI FOOD SHOPS  INC.","Boulos","Simon",387090,"2020-01-28 08:09:46","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-05-18,"590.002(D)/2-103.11-PF","**","(A)-(P) Person-In-Charge-Duties (Pf)","2022-05-18 14:31:44","Fail","","Retrain staff with regard to proper warewashing  cold holding and handwashing.","1219   Commonwealth AVE","Allston","MA",2134,157940,42.350755,-71.13087,1
"AK's Takeout","ROBERT DUNKLE","309 D Street Inc","Jasbir Saini",430834,"2020-07-15 10:59:03","2022-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-02-16,"590.002(B)/2-102.11-PF","**","(A)  (B) and (C)(1)  (4)-(16) Demonstration (Pf)","2022-02-16 12:08:00","Fail","","Certified food protection manager certificate posted is for owner who is out of the country per on site PIC. Provide additional certified food protection manager. Priroity violations cited. Provide active managerial control.","309   D ST","South Boston","MA",2127,156426,42.339981,-71.04924,1
"AL CAPONE","EIGHTY MONT SUMMER LLC","ROSE CAPONE PRES."," ",22813,"2012-02-22 10:44:41","2020-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","80   Summer ST","Boston","MA",2110,132052,42.35402,-71.05813,1
"AL DENTE RISTORANTE","KEHAYIAS CHERYL TS","JOSEPH BONO"," ",19660,"2012-02-15 13:15:18","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","109   Salem ST","Boston","MA",2113,121695,42.36421,-71.05536,1
"Al FreshCo","HOSKIN","Valchuis","Laurel",125755,"2014-01-27 09:03:04","2016-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","31   Germania ST","Jamaica Plain","MA",2130,157658,42.314412,-71.103008,1
"Al Prime Energy","","479 Gallivan Blvd. L L C."," ",80573,"2012-08-14 13:49:14","2023-12-31 23:59:00","Active","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","497   Gallivan BLVD","Dorchester","MA",2124,62334,42.2824,-71.05611,1
"ALBA PRODUCE","MOGAVERA ROSARIO","BRUCE ALBA"," ",21026,"2012-02-29 12:07:33","2023-12-31 23:59:00","Active","RF","Retail Food","HE_Pass",2022-02-09,"","",""," ","",""," ","18   Parmenter ST","Boston","MA",2113,108268,42.36382,-71.05508,1
"Alberto Market","","Piimentel","Leandro",121518,"2013-11-14 10:01:25","2018-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","1112  Blue Hill AV","Dorchester","MA",2124,16171,42.2863,-71.09041,1
"Alcove","  ","Guidelli","Thomas S.",346419,"2018-10-09 09:32:32","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","131  Beverly ST","Boston","MA",2114,172189,42.36703,-71.060086,1
"Alex Market","THREE- 24 TALBOT AV LLC","Guzman","Denny",29784,"2011-12-30 10:12:15","2018-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","316  Talbot AVE","Dorchester","MA",2124,133702,42.2906,-71.07286,1
"Alex Market VI","","Barua","Tapas",201333,"2016-08-16 09:39:07","2022-12-31 23:59:00","Active","RF","Retail Food","HE_Fail",2022-05-06,"590.003/3-304.12-C","*","In-Use Utensils  Between-Use Storage (C)","2022-05-06 13:21:26","Fail","","Knives observed being stored in between wall and the 3 bay sink. Discontinue and store all knives in a clean and protected manner.","466   Talbot AVE","Dorchester","MA",2122,156290,42.289007,-71.066548,1
"Al's South St. Express","","Cucinotta","A.J.",28744,"2011-12-19 10:49:52","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","179   Essex ST","Boston","MA",2111,54296,42.352051,-71.057585,1
"Alexander's Wine & Spirit","WALGREEN EASTERN CO.  INC","SING MING CHAN"," ",22887,"2011-12-13 14:47:05","2022-12-31 23:59:00","Active","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","755   Gallivan BLVD","Dorchester","MA",2122,156548,42.283819,-71.044839,1
"ALI ROTI RESTAURANT","ARCH DEVELOPMENT LIMITED PAR","NAZIR ALI PRES."," ",20778,"2012-02-28 09:57:16","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","1035   Tremont ST","Mission Hill","MA",2120,136793,42.33666,-71.08563,1
"Alex's Liquor Inc.","","Guzman Perez","Denny",140185,"2015-10-27 08:33:00","2017-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","569   American Legion HWY","Roslindale","MA",2131,3118,42.287133,-71.108605,1
"ALEX'S MARKET IV","","ALEX'S MARKET IV INC."," ",112710,"2013-09-09 10:21:44","2016-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","466   Talbot AVE","Dorchester","MA",2122,156290,42.289007,-71.066548,1
"Alfa Auto Fuel","MANTAS GEORGE TS","GEORGE MANTAS"," ",23542,"2012-01-31 14:04:53","2022-12-31 23:59:00","Active","RF","Retail Food","HE_Fail",2022-09-07,"590.003/3-307.11-C","*","Miscellaneous Sources of Contamination (C)","2022-09-07 15:02:12","Fail","","Snap trap with peanut butter on shelf next to candy. Removed by operator.","4139   Washington ST","Roslindale","MA",2131,145129,42.28925,-71.12559,1
"ALFREDO'S","PILIKA ALFRED","ALFRED PILIKA"," ",22825,"2012-03-30 13:00:35","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-05-11,"590.003/3-304.14-C","*","Wiping Cloths  Use Limitation (C)","2022-05-11 11:03:31","Fail","","Wiping cloths stored soiled on counter. Store properly in sanitizer solution.","229   Brighton AVE","Allston","MA",2134,156216,42.353679,-71.135669,1
"Alumni 4","  ","Trustees of Boston College","Attn: Dining Svcs.",68160,"2011-12-20 10:12:42","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","2597   Beacon ST","Brighton","MA",2135,172185,42.336249,-71.166434,1
"ALFREDO'S ITALIAN KITCHEN","","ADEL HAMAD"," ",23175,"2012-01-23 14:31:38","2023-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-03-31,"590.002(D)/2-103.11-PF","**","(A)-(P) Person-In-Charge-Duties (Pf)","2022-03-31 09:06:35","Fail","","No Managerial control over staff- using handsink for other purpose than washing hands  temperature foods hot holding  Staff prepping raw sausage in basement in sanitizer bay warewash sink next to soapy water.- Train staff on above mentioned","243   Dorchester ST","South Boston","MA",2127,156257,42.332855,-71.051318,1
"Alibi","","Big House Fine Dining L L C","c/o Lyons Group",77887,"2012-12-18 13:03:24","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Pass",2022-11-01,"","",""," ","",""," ","215   Charles ST","Boston","MA",2114,160740,42.36203,-71.070362,1
"Alipio's Market","CASTANO DIANA S","Alipio","Katia",159570,"2016-01-26 08:24:31","2021-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","353   Chelsea ST","East Boston","MA",2128,30522,42.37828,-71.02873,1
"Ali's Uyghur Kitchen","PETER LUU  PRES.","Neurmaimaiti","Nueraili",468006,"2022-04-19 14:15:22","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-04-12,"590.002/2-501.11-PF","**","Clean-up of Vomiting and Diarrheal Events (Pf)","2022-04-12 12:21:02","Fail","","No Clean-up Kit available and no written procedures. Provide.","1   Brighton AVE","Allston","MA",2134,157732,42.352411,-71.125329,1
"All American Water","","Nguyen","Mary",157991,"2015-12-31 08:53:58","2018-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","3   Neponset AVE","Dorchester","MA",2122,100851,42.297,-71.05634,1
"All Spice","FOURTY 1 WORCESTER SQUARE","805 Inc","Mohanad Alchalabi",425336,"2021-02-01 13:23:23","2022-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_Fail",2022-01-05,"590.002(D)/2-103.11-PF","**","(A)-(P) Person-In-Charge-Duties (Pf)","2022-01-05 15:11:09","Fail","","PIC not monitoring proper food storage of raw vs ready to eat foods and unlabeled food for customer self service. Discussed with PIC the requirements of maintain raw foods including raw shell eggs seperate from ready to eat foods. Instructed PIC to review food safety requirement and retrain staff. Documents emailed to PIC","41   Worcester SQ","Roxbury","MA",2118,152332,42.33587,-71.0742,1
"All Spice Restaurant","FOURTY 1 WORCESTER SQUARE","A-Abraar Restaurant Inc.","Iman Mohamud",485716,"2022-09-06 12:49:03","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-08-29,"590.005/5-205.15-C","*","System Maintained in Good Repair (C)","2022-08-29 11:00:58","Fail","","Observed leaking pipe underneath 3 bay sink. Discussed with PIC to contact Licensed Plumber for immediate repairs.","41   Worcester SQ","Roxbury","MA",2118,152332,42.33587,-71.0742,1
"All Star Pizza Bar","RAMIN DOORANDISH  PRESIDE NT","Diamantopoulos","Kosta",308806,"2016-11-22 14:22:03","2020-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","204   Cambridge ST","Boston","MA",2114,157408,42.360955,-71.065859,1
"Allandale Farm","LAWRENCE JAMES 3RD      ETAL","Allandale Farm  Inc.","Att: Accounts Payable",18032,"2012-01-03 11:12:02","2022-12-31 23:59:00","Active","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","259   Allandale ST","Jamaica Plain","MA",2130,2227,42.302221,-71.139365,1
"ALLIS ROTI + MEAT MARKET","ALI","ALI","NAZIR",18944,"2012-02-28 09:56:12","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-01-25,"590.002(D)/2-103.11-PF","**","(A)-(P) Person-In-Charge-Duties (Pf)","2022-01-25 15:20:09","Fail","","Health permit expired.","1188   Blue Hill AVE","Mattapan","MA",2126,16183,42.28377,-71.09129,1
"Allston Convenience Store","POLYZOS PETROS S TS","Riad","Corp.",27591,"2011-12-15 14:13:30","2023-12-31 23:59:00","Active","RF","Retail Food","HE_Filed",2022-07-19,"590.005/5-501.115-C","*","Maintaining Refuse Areas and Enclosures (C)","2022-07-19 11:05:47","Fail","","Large amount of not in use items and cardboard boxes in lower level. Remove.","163   Allston ST","Allston","MA",2135,2355,42.347954,-71.138155,1
"Allston Diner","SHERMAN LEONARD S TS","Michael Chabot & Mark Burke"," ",78169,"2012-03-06 15:37:54","2020-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","417   Cambridge ST","Allston","MA",2134,25121,42.355123,-71.134062,1
"Alma Cantina","FIFTEEN UNION STREET LLC","BRV Dining Group LLC","Tim McCasland",455581,"2021-07-19 08:24:27","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-05-12,"590.002(D)/2-103.11-PF","**","(A)-(P) Person-In-Charge-Duties (Pf)","2022-05-12 12:02:12","Fail","","Dishes not being washed rinsed and sanitized in dish machine  employee washing and rinsing in prep sink in kitchen  ensure all employees properly trained by Person in charge","15  Union St","Boston","MA",2108,139286,42.360853,-71.056685,1
"Almany Market","ARCH DEVELOPMENT LP","Santana","Hector",158675,"2016-02-26 09:42:30","2022-12-31 23:59:00","Active","RF","Retail Food","HE_Fail",2022-10-13,"590.003/3-202.15-PF","**","Package Integrity (Pf)","2022-10-13 12:21:24","Fail","","Observed multiple can goods stored on retail shelves dented at the seal. Remove and ensure cans are in good condition to prevent contamination.","1053   Tremont ST","Mission Hill","MA",2119,136798,42.336513,-71.085998,1
"Al's Bottled Liquors","CARNEY MARTA","CARNEY","MARTA",18850,"2011-12-13 11:46:10","2018-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","226 W Broadway ","South Boston","MA",2127,155749,42.340048,-71.052291,1
"AL'S CAFÉ","","Toni McGee","Brian McGee",447765,"2021-05-21 08:57:37","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-01-21,"590.002(C)/2-102.12-C","*","(A) Certified Food Protection Manager (C)","2022-01-21 10:30:46","Fail","","Food handler certificate on site for PIC. Not recognized in Massachusetts. Provide certified food protection ""manager"" certificate or proof of enrollment upon reinspection.","27   DRYDOCK AVE","BOSTON","MA",2210,49599,42.344333,-71.027957,1
"Alumni 3","  ","Trustees of Boston College","Attn: Dining Svcs.",68158,"2011-12-20 10:09:55","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","2597   Beacon ST","Brighton","MA",2135,172185,42.336249,-71.166434,1
"Alta Strada Pizza Pronto","","SRG Time Out LLC","Att: Amanda McLauglin",391968,"2019-06-21 09:02:40","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","201   Brookline AVE","Boston","MA",2215,340960,42.344649,-71.102201,1
"Alta Strada/AM2-A03/29","","Delaware North","Att: Accounts Payable",394032,"2021-03-30 11:42:39","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Filed",2022-06-27,"590.006/6-501.12-C","*","Cleaning  Frequency and Restrictions (C)","2022-06-27 11:18:51","Fail","","Walls at the end of the cookline with visible soils / clean to remove","100   Terminal RD","East Boston","MA",2128,341357,42.364539,-71.021817,1
"Alumni 1","  ","Trustees of Boston College","Attn: Dining Svcs.",68154,"2011-12-20 10:03:54","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","2597   Beacon ST","Brighton","MA",2135,172185,42.336249,-71.166434,1
"Alumni 2","  ","Trustees of Boston College","Attn: Dining Svcs.",68156,"2011-12-20 10:07:41","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","2597   Beacon ST","Brighton","MA",2135,172185,42.336249,-71.166434,1
"Alumni 5","  ","Trustees of Boston College","Attn: Dining Svcs.",68162,"2011-12-20 10:16:48","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","2597   Beacon ST","Brighton","MA",2135,172185,42.336249,-71.166434,1
"AMAZING.NET","A.F.M. LIMITED  ATTN: EXEC.OFF.","A.F.M. LIMITED  ATTN:","CAPITAL VIDEO CORP",24406,"2011-12-13 13:34:59","2014-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","57   Stuart ST","Boston","MA",2116,156368,42.351235,-71.064269,1
"Al-Wadi Restaurant","WHITE PARKWAY RLTY INC","Al-Wadi Restaurant L L C"," ",68660,"2011-12-15 10:11:09","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-08-03,"590.004/4-602.13-C","*","Nonfood Contact Surfaces (C)","2022-08-03 15:31:08","Fail","","The hood vents are due for a clenaing.  Have the vents cleaned. There is some grease buildup on the fryers.  Clean to remove There is grease buildup on the exterior of the grease trap.  Clean to remvoe. There is debris along the wall in the dish area.  Clean.","1249   VFW PKWY","West Roxbury","MA",2132,140286,42.27724,-71.17261,1
"BOCA GRANDE RESTAURANT","","Mariko Kamio"," ",25459,"2012-06-07 10:47:05","2016-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","366  Washington St","Brighton","MA",2135,157837,42.34896,-71.153749,1
"Amateras","","Watanabe","Koichi  Pres.",140294,"2017-07-10 12:03:18","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-03-09,"590.002(D)/2-103.11-PF","**","(A)-(P) Person-In-Charge-Duties (Pf)","2022-03-09 12:16:26","Fail","","8-301.11 2022 Health Permit is unpaid. Please pay at 1010 Massachusetts Ave.  4th Floor immediately or email isdhealth@boston.gov with permit number","112  South ST","Boston","MA",2111,160792,42.350987,-71.057143,1
"American Nut & Chocolate","BEAUPRE DAVID TS","Novack","Robert",32379,"2011-12-23 11:56:06","2023-12-31 23:59:00","Active","RF","Retail Food","HE_Pass",2022-09-07,"","",""," ","",""," ","121   Newmarket SQ","Roxbury","MA",2118,102154,42.330596,-71.066966,1
"AMC Theatres Boston Common 19","NEW COMMONWEALTH COMMERCIAL","Amer. Multi-Cinema Inc.Lic.Div.","Att: Accounts Payable",21804,"2011-12-22 12:20:29","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Filed",2022-01-03,"590.005/5-205.15-C","*","System Maintained in Good Repair (C)","2022-01-03 14:59:32","Fail","","First floor bathroom hot water tank not working. Plumbers on site replacing hot water tank. Nine other bathrooms available for staff and customers.","175   Tremont ST","Boston","MA",2111,137447,42.35315,-71.06403,1
"Amelia's Taqueria","GETTLEMAN DAVID","Shiranian","Amir",371928,"2019-05-28 12:08:33","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-01-10,"590.003/3-302.12-C","*","Food Storage Containers Identified with Common Name of Food (C)","2022-01-10 13:10:46","Fail","","Provide labels on all bulk storage containers.","1076  Boylston ST","Boston","MA",2215,158326,42.346932,-71.08797,1
"Amelia's Taqueria III","D'ANTISTA DIANE & SALVATORE","Shiranian","Amir",333294,"2017-05-10 08:47:28","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-01-03,"590.003/3-305.11-C","*","Food Storage-Preventing Contamination from the Premises (C)","2022-01-03 12:58:46","Fail","","Some packages with beverage items stored on the floor. Elevate properly.","1936   Beacon ST","Brighton","MA",2135,155677,42.336353,-71.149931,1
"American Bakers","NAVY YARD PLAZA DEVELOPMENT","Ndrenika","Alda",29000,"2012-01-19 11:59:04","2015-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","39   First AVE","Charlestown","MA",2129,58337,42.37556,-71.053919,1
"American Food Basket","JTJ DEVELOPMENT LLC","FERREIRA","ANDRES",24624,"2011-12-29 14:41:11","2022-12-31 23:59:00","Active","RF","Retail Food","HE_Fail",2022-02-24,"590.003/3-304.14-C","*","Wiping Cloths  Use Limitation (C)","2022-02-24 13:41:00","Fail","","properly store all wiping cloths in a sanitizing solution in meat prep room","942   Hyde Park AVE","Hyde Park","MA",2136,77703,42.267572,-71.119885,1
"Americano Espresso Bar","TRAMONTE YOLANDA M TRSTS","Cali","David",24849,"2012-01-05 13:24:38","2023-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","155   Meridian ST","East Boston","MA",2128,94405,42.373853,-71.038885,1
"Americas Food Basket","CIFRINO PAUL J          ETAL","Lio Meat Corp."," ",91514,"2013-07-02 13:28:19","2023-12-31 23:59:00","Active","RF","Retail Food","HE_Fail",2022-03-25,"590.003/3-304.14-C","*","Wiping Cloths  Use Limitation (C)","2022-03-25 12:23:45","Fail","","properly store all wiping cloths in a sanitizer solution","920   Cummins HWY","Mattapan","MA",2126,45031,42.26794,-71.09447,1
"BoMA Restaurant & Bar","","Shane Manfred"," ",80465,"2012-10-24 10:40:44","2014-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","1415   Washington ST","Roxbury","MA",2118,161051,42.341226,-71.07053,1
"AMERICA'S FOOD BASKET","","People Meat Market Corp.","Francisco Diaz",74772,"2011-12-19 12:42:57","2023-12-31 23:59:00","Active","RF","Retail Food","HE_Fail",2022-02-02,"590.004/4-202.16-C","*","Nonfood-Contact Surfaces (C)","2022-02-02 11:14:52","Fail","","Small portion of flooring located in the deli department next to the hand sink is damaged. Address and make any necessary repairs. Metal storage rack in teh meat department is damaged. Address and make any necessary repairs.","576   Washington ST","Dorchester","MA",2124,155989,42.291523,-71.071458,1
